ID,Yards,OffensivePlays,TurnOversLost,FumblesLost,FirstDowns,PassesCompleted,PassesAttempted,YardsGainedPassing,InterceptionsThrown,RushingAttempts,YardsGainedRushing,PenaltiesCommitedByTeam,PenaltiesInYards,FirstDownsByPenalty,NumberOfDrives,OppYards,OppOffensivePlays,OppTurnOversLost,OppFumblesLost,OppFirstDowns,OppPassesCompleted,OppPassesAttempted,OppYardsGainedPassing,OppInterceptionsThrown,OppRushingAttempts,OppYardsGainedRushing,OppPenaltiesCommitedByTeam,OppPenaltiesInYards,OppFirstDownsByPenalty,OppNumberOfDrives,Wins
56,5900,1029,17,9,349,403,620,4199,8,374,1701,100,827,36,176,5823,987,25,8,329,370,571,4308,17,376,1515,109,964,22,173,10
57,5438,996,16,5,313,282,438,3050,11,527,2388,91,693,15,174,4878,966,33,14,282,289,497,3312,19,432,1566,86,720,26,178,10
58,5401,1088,29,10,333,331,545,3170,19,509,2231,78,640,16,181,5589,968,21,6,297,281,489,3754,15,435,1835,73,589,25,186,7
59,5027,993,31,9,279,338,552,3412,22,406,1615,107,845,31,191,5348,1024,29,12,291,299,513,3269,17,483,2079,91,726,20,189,9
60,5855,1078,23,10,332,316,527,3593,13,527,2262,112,936,38,199,4578,993,33,12,257,289,509,2718,21,429,1860,112,1050,23,205,10
61,5708,1014,35,14,340,349,580,4198,21,398,1510,107,780,36,181,5554,1025,28,10,329,364,580,3987,18,410,1567,119,837,27,186,5
62,5090,1020,29,7,280,266,480,2932,22,493,2158,108,837,21,196,5359,1048,15,2,293,345,586,3947,13,421,1412,92,833,27,192,8
63,5149,960,23,9,297,228,379,2926,14,549,2223,99,876,33,183,4544,998,30,15,275,315,549,3168,15,402,1376,120,1031,21,181,11
64,6461,1032,28,16,348,378,544,4355,12,468,2106,89,787,18,185,5724,1044,39,13,310,330,574,3769,26,435,1955,86,717,24,194,13
65,5845,1037,23,12,346,422,599,4275,11,398,1570,100,852,31,176,5859,1002,17,7,308,417,626,4308,10,332,1551,115,995,22,176,9
66,5766,1030,16,9,330,279,465,3227,7,542,2539,97,756,23,186,5006,985,36,16,295,344,613,3643,20,344,1363,139,989,30,176,13
67,6014,1017,28,13,336,312,535,3852,15,455,2162,143,1195,36,176,5446,1045,23,12,351,378,541,3840,11,466,1606,104,862,39,180,6
68,5769,1003,32,12,344,331,532,3867,20,423,1902,112,982,45,181,5546,1023,7,5,337,344,542,3732,2,444,1814,117,1011,38,181,4
69,6290,1048,28,8,359,366,582,4426,20,436,1864,91,753,28,172,5546,958,21,4,311,299,478,3591,17,448,1955,92,760,23,170,8
70,5587,1058,23,8,321,362,607,3925,15,408,1662,123,988,27,184,5625,1065,20,10,343,344,544,3764,10,491,1861,97,791,37,188,6
71,5501,1013,21,12,310,315,502,3878,9,486,1623,110,887,15,188,4901,926,34,13,275,332,546,3606,21,342,1295,96,793,29,188,12
72,5711,1050,17,9,341,364,563,3942,8,446,1769,88,726,37,176,5612,1038,20,3,327,374,593,3800,17,412,1812,105,950,36,176,6
73,5559,1024,45,18,315,408,635,4154,27,343,1405,120,919,20,189,5025,944,26,14,282,292,461,3209,12,445,1816,99,755,29,181,7
74,5423,1064,25,9,304,383,633,3810,16,404,1613,136,1018,22,193,5497,1005,29,15,320,330,518,3498,14,443,1999,106,854,35,192,6
75,4832,1042,40,26,291,341,557,3035,14,446,1797,107,873,20,186,4825,968,23,6,258,293,490,3557,17,446,1268,84,728,27,196,5
76,5798,999,32,11,315,310,473,3240,21,507,2558,88,699,22,192,5101,1036,32,11,288,326,589,3400,21,413,1701,97,767,25,196,10
77,5840,1016,15,6,321,287,466,3262,9,522,2578,90,791,15,190,4825,985,28,12,285,307,538,3212,16,386,1613,87,751,20,191,14
78,4969,999,24,8,292,287,485,2999,16,470,1970,102,811,30,195,5050,1021,44,20,286,350,592,3423,24,388,1627,78,704,25,195,10
79,6357,1076,22,9,373,390,592,4436,13,466,1921,81,743,37,178,5123,941,28,10,289,300,512,3355,18,398,1768,91,780,16,179,10
80,4280,960,40,18,238,255,464,2694,22,452,1586,94,785,23,211,4646,1022,33,16,271,293,522,2993,17,448,1653,98,782,21,212,7
81,6113,1019,32,12,340,367,555,4267,20,432,1846,80,664,24,173,5385,935,22,10,300,294,471,3423,12,439,1962,81,659,19,175,8
82,5468,1023,14,4,318,350,582,3725,10,409,1743,66,576,39,188,5713,1026,27,12,319,324,536,3711,15,448,2002,112,990,27,183,11
83,5311,1042,30,18,307,371,609,3782,12,380,1529,120,1083,34,178,6067,998,21,10,321,322,511,4012,11,458,2055,108,833,31,179,3
84,5039,982,37,11,289,305,505,3097,26,441,1942,100,769,26,189,5002,977,26,11,276,333,529,3367,15,417,1635,98,786,11,184,6
85,5584,924,20,9,301,312,478,3858,11,421,1726,95,748,18,170,5599,1041,24,9,339,411,605,3958,15,408,1641,78,708,28,169,8
86,4585,1026,40,19,280,325,561,3136,21,413,1449,103,859,25,200,5481,1014,21,12,322,308,490,3486,9,495,1995,107,867,22,195,2
87,3985,921,26,6,233,238,488,2380,20,409,1605,100,669,22,172,5704,1004,31,8,315,286,446,3273,23,541,2431,95,770,14,171,4
88,5568,1018,26,9,313,323,503,3421,17,492,2147,102,812,27,191,5749,1067,26,6,337,365,608,3888,20,439,1861,105,876,35,184,10
89,5771,988,22,10,328,284,490,3683,12,462,2088,98,835,34,175,5329,1010,23,12,326,371,555,3568,11,416,1761,86,711,32,176,7
90,6192,1080,41,18,350,337,558,3685,23,473,2507,137,1139,20,191,5769,963,23,7,315,335,542,4103,16,394,1666,100,824,34,187,6
91,5972,1011,22,6,356,378,563,3836,16,416,2136,92,818,27,173,5651,948,23,10,315,353,529,3847,13,384,1804,91,805,20,171,7
92,4638,878,23,10,252,292,455,2900,13,371,1738,108,978,24,184,6257,1024,28,7,350,335,508,3932,21,485,2325,107,856,39,183,7
93,4470,998,33,12,259,312,543,2686,21,411,1784,100,834,21,181,5965,1016,20,12,333,315,491,3764,8,500,2201,80,613,24,184,1
94,5120,1026,18,12,295,318,510,3025,6,478,2095,83,644,21,178,4621,933,18,5,259,290,511,3095,13,398,1526,80,639,14,176,8
95,5324,913,23,8,278,316,477,3500,15,406,1824,125,1142,21,189,6122,1088,25,9,349,368,591,3875,16,464,2247,109,919,41,194,10
96,5739,1020,19,5,357,355,551,4033,14,446,1706,67,515,26,166,4475,980,37,15,288,325,498,2764,22,454,1711,85,722,15,162,13
97,5738,1006,31,13,318,364,547,4047,18,401,1691,120,1130,44,192,5712,976,19,12,307,345,519,3990,7,421,1722,144,1164,35,182,4
98,5488,990,17,9,305,365,546,3740,8,412,1748,109,848,22,178,5896,1063,33,15,342,350,598,3958,18,437,1938,109,797,31,182,12
99,6357,1053,29,10,354,382,598,4449,19,441,1908,116,950,28,182,5541,967,15,7,307,314,518,3663,8,409,1878,112,942,34,181,10
100,5640,1042,16,5,314,334,560,3739,11,444,1901,121,1127,34,193,5615,1086,25,12,326,335,557,3650,13,492,1965,107,929,34,192,10
101,5184,1012,21,8,309,228,358,2720,13,618,2464,99,835,28,179,4134,882,32,13,248,269,484,2835,19,357,1299,104,875,23,174,15
102,4609,968,34,15,266,257,450,2792,19,487,1817,103,913,22,192,4787,1014,36,14,283,319,529,3335,22,441,1452,98,766,30,194,10
103,6000,965,15,2,343,292,477,3622,13,462,2378,75,700,24,178,6248,1081,31,13,367,403,616,4181,18,431,2067,100,827,20,182,8
104,5687,968,21,6,327,323,539,3825,15,409,1862,72,578,37,176,6134,1016,35,14,317,341,534,4068,21,449,2066,102,900,17,175,9
105,5610,974,18,8,311,259,405,3031,10,536,2579,110,890,29,170,4899,968,31,13,295,327,564,3250,18,368,1649,102,902,29,169,11
106,5007,1001,26,7,278,357,594,3567,19,349,1440,70,598,12,194,5750,1106,24,6,327,344,580,3752,18,484,1998,95,748,21,194,8
107,5369,1055,27,15,330,326,527,3400,12,499,1969,98,940,28,189,4710,950,35,13,264,294,518,3203,22,388,1507,102,918,33,182,12
108,4851,959,15,6,275,268,462,2762,9,455,2089,89,685,14,178,5335,1042,27,13,324,314,519,3264,14,487,2071,96,717,24,176,6
109,4832,1005,29,16,277,329,536,3109,13,416,1723,121,1112,21,180,4983,970,17,6,288,312,499,3113,11,434,1870,92,735,37,181,5
110,5078,990,25,12,287,280,469,3091,13,469,1987,85,779,32,195,5522,1043,19,3,310,350,590,3992,16,412,1530,112,975,24,195,6
111,4950,964,26,10,278,269,449,3271,16,487,1679,91,732,39,190,4522,981,42,19,262,305,528,3057,23,408,1465,128,1045,30,187,11
112,5226,1052,24,9,289,287,498,2946,15,507,2280,109,932,23,186,5235,976,13,7,300,345,538,3746,6,393,1489,91,780,32,183,4
113,5233,1005,29,10,322,396,609,3792,19,355,1441,113,997,37,180,6033,1008,24,10,325,366,548,4230,14,421,1803,106,978,20,177,5
114,5002,940,18,6,289,293,437,2975,12,456,2027,82,727,27,166,5334,1001,17,6,298,337,533,3471,11,429,1863,120,984,18,172,9
115,5325,1028,24,8,313,324,538,3188,16,466,2137,100,805,30,191,6034,1056,27,10,326,375,607,4295,17,410,1739,103,854,30,196,8
116,5225,991,26,11,308,311,536,3643,15,422,1582,123,1020,31,182,5382,1021,38,12,307,303,513,3478,26,474,1904,117,1078,32,187,7
117,4810,945,26,7,261,226,447,2596,19,469,2214,94,803,23,187,5915,1062,28,11,329,335,530,3602,17,506,2313,102,906,27,189,8
118,5166,965,36,14,303,368,587,3878,22,324,1288,100,676,27,189,6042,1087,35,18,363,422,602,4131,17,448,1911,113,897,26,193,7
119,5999,1135,20,11,367,334,556,3558,9,547,2441,116,940,30,177,4687,974,17,5,286,337,577,3360,12,354,1327,113,1017,30,179,10
120,5096,1020,23,10,273,363,579,3614,13,402,1482,124,1031,22,197,4995,1027,30,11,302,337,559,3292,19,414,1703,104,849,42,198,9
121,4761,920,22,11,241,273,473,2805,11,429,1956,122,1057,23,196,5885,1091,26,13,320,399,597,4065,13,453,1820,109,992,30,198,7
122,6846,1191,16,7,444,402,641,4662,9,523,2184,97,840,37,185,5972,1046,41,21,340,369,594,4342,20,415,1630,101,932,33,196,12
123,5697,984,19,7,297,382,583,4047,12,354,1650,114,951,18,177,5942,1034,21,5,346,362,560,4044,16,444,1898,110,919,38,181,5
124,5198,1026,30,14,274,291,556,3300,16,444,1898,132,1055,22,202,5078,1078,31,17,319,323,549,3307,14,480,1771,105,827,42,196,9
125,5954,1046,20,11,321,288,467,3506,9,546,2448,99,852,14,191,4571,960,27,10,270,279,538,3035,17,378,1536,88,686,31,188,10
126,6180,1056,11,9,351,368,550,4308,2,482,1872,93,819,39,182,5223,998,23,10,294,368,596,3806,13,368,1417,113,930,23,179,14
127,6461,1096,20,8,381,460,667,4970,12,397,1491,130,1112,36,182,6615,997,22,13,380,372,544,4544,9,422,2071,114,887,54,180,7
128,6293,1060,21,10,373,378,544,4328,11,486,1965,95,765,39,167,5864,959,17,6,327,364,548,4139,11,376,1725,100,850,21,166,9
129,5302,1041,34,14,321,302,544,3154,20,469,2148,77,652,35,189,4880,984,25,10,288,306,523,3317,15,408,1563,118,874,20,193,10
130,4813,987,24,9,248,336,555,3293,15,385,1520,105,891,14,194,5688,1042,28,12,320,336,536,3655,16,481,2033,91,808,25,187,4
131,4149,1002,23,8,251,240,469,2179,15,489,1970,77,680,26,194,5008,979,28,11,268,326,513,3341,17,435,1667,105,895,20,195,5
132,4918,1090,29,6,295,363,619,3590,23,423,1328,112,942,38,207,5368,1032,24,8,284,314,552,3681,16,440,1687,126,1196,29,204,8
133,5035,944,22,11,302,279,484,3020,11,417,2015,96,817,41,187,5307,1058,26,13,306,337,559,3236,13,461,2071,129,1105,19,187,12
134,6237,1069,19,9,366,418,619,4475,10,414,1762,129,1094,27,171,4979,997,31,10,319,346,570,3526,21,384,1453,103,787,34,181,11
135,5952,1097,36,14,343,350,551,3832,22,512,2120,90,712,24,196,4835,982,36,17,279,336,573,3460,19,359,1375,106,927,24,188,10
136,4987,1037,34,17,306,288,464,2878,17,543,2109,101,773,17,189,4665,978,34,12,268,349,569,3187,22,369,1478,90,745,23,183,10
137,5419,1036,24,12,312,314,544,3423,12,459,1996,92,742,33,186,4622,1002,26,11,269,288,535,3140,15,419,1482,103,1032,24,188,12
138,4778,1008,32,9,283,271,499,2794,23,468,1984,116,992,38,193,4706,968,27,11,293,313,492,2867,16,440,1839,99,976,25,189,6
139,3572,947,29,14,208,235,447,2225,15,424,1347,136,1011,30,201,5230,1056,21,11,291,281,512,3141,10,509,2089,102,955,20,210,4
140,5601,1040,23,11,361,394,595,3729,12,399,1872,81,635,36,181,5494,1029,25,11,309,338,537,3557,14,453,1937,105,920,16,180,8
141,4672,936,33,13,263,301,531,3297,20,353,1375,118,939,29,180,5903,1067,25,11,353,387,563,4084,14,468,1819,106,935,27,185,2
142,5069,1045,31,12,297,372,609,3503,19,395,1566,95,840,33,194,5703,1024,23,10,305,374,568,3927,13,428,1776,111,971,21,196,5
143,5423,989,23,9,293,266,446,2882,14,513,2541,97,810,19,188,4538,978,24,4,259,294,523,3078,20,420,1460,80,684,22,187,8
144,5358,1024,31,14,305,303,515,3285,17,481,2073,108,895,24,183,4657,976,27,12,276,303,510,3251,15,442,1406,103,881,20,182,5
145,5871,1060,19,9,357,300,501,3589,10,526,2282,103,887,24,198,5167,1058,39,15,298,390,650,3752,24,364,1415,99,822,26,196,15
146,5728,1008,18,7,322,307,504,3541,11,476,2187,110,1012,32,184,5720,1031,18,6,324,388,635,4307,12,356,1413,137,1191,27,177,9
147,5710,1055,14,6,334,357,527,3753,8,501,1957,100,949,38,185,4415,956,19,5,260,324,555,3078,14,364,1337,105,928,33,179,13
148,5392,1010,30,15,318,271,455,2890,15,530,2502,103,859,24,191,4656,974,30,9,285,294,520,3102,21,407,1554,106,826,37,188,9
149,5848,1073,13,4,361,392,609,4121,9,438,1727,120,1080,37,181,5506,1033,25,9,329,342,574,3837,16,419,1669,92,752,45,182,12
150,5618,1012,21,8,299,343,541,3813,13,437,1805,110,984,18,179,5349,1003,28,6,295,287,518,3244,22,458,2105,89,721,33,192,6
151,6386,1036,38,13,356,330,554,4110,25,450,2276,107,853,25,190,5198,982,24,9,289,301,518,3397,15,414,1801,97,813,32,195,8
152,4976,983,25,11,296,338,567,3264,14,350,1712,95,736,32,180,6279,1067,13,3,364,347,543,3996,10,498,2283,104,930,23,179,1
153,5541,976,29,14,305,326,515,3584,15,429,1957,90,610,22,177,5376,992,30,16,306,279,458,3094,14,501,2282,82,628,19,176,7
154,4692,1035,34,13,266,327,569,3362,21,423,1330,111,839,24,205,5675,1036,33,17,305,343,541,3708,16,454,1967,92,670,20,214,7
155,4563,1003,35,13,274,291,548,2740,22,414,1823,76,617,32,188,6020,1046,25,8,335,335,535,3874,17,490,2146,111,969,22,187,5
156,5214,1003,28,10,304,301,523,3058,18,455,2156,101,881,21,190,5479,1057,28,11,314,333,567,3649,17,458,1830,97,771,19,187,8
157,5379,995,24,14,300,382,556,3751,10,387,1628,110,965,17,176,6102,973,17,3,317,299,480,3853,14,480,2249,117,991,31,174,4
158,5421,981,15,5,329,388,594,4111,10,350,1310,100,861,36,156,5676,964,14,4,333,399,549,3975,10,389,1701,122,979,28,160,9
159,5563,1079,23,7,316,439,679,4100,16,367,1463,125,1111,32,191,5154,993,28,10,294,369,578,3724,18,384,1430,94,900,30,192,8
160,4716,985,23,9,268,303,487,2890,14,457,1826,131,1085,24,190,4444,950,30,13,254,275,476,2929,17,438,1515,108,830,31,184,11
161,3816,967,37,21,230,249,471,2192,16,430,1624,124,956,25,207,5390,1046,29,12,302,287,515,3340,17,496,2050,120,914,28,216,5
162,5400,1023,24,10,312,377,586,4017,14,394,1383,80,677,24,189,5395,1036,20,10,303,329,569,3546,10,433,1849,92,798,23,190,8
163,5891,1097,30,10,330,364,587,4136,20,481,1755,102,1000,24,201,4888,1042,31,11,282,362,614,3344,20,385,1544,69,692,32,197,11
164,6366,1090,25,14,380,402,588,4534,11,481,1832,100,805,36,188,4652,1015,24,8,287,321,559,3194,16,404,1458,123,951,31,193,13
165,5161,1062,29,8,286,294,510,3162,21,515,1999,98,837,22,203,4056,937,25,12,228,239,492,2631,13,413,1425,88,763,33,197,10
166,5118,1051,45,15,318,383,626,3766,30,398,1352,119,918,36,189,4690,969,21,11,280,252,430,2680,10,504,2010,98,975,30,192,4
167,5852,998,30,15,328,418,630,4674,15,340,1178,107,781,25,178,5304,993,30,17,312,323,517,3540,13,445,1764,98,816,23,181,9
168,4375,948,34,18,237,252,471,2621,16,423,1754,105,974,21,203,5267,1079,30,11,291,334,574,3449,19,481,1818,119,919,23,209,5
169,4972,938,17,4,304,331,542,3290,13,359,1682,114,957,30,166,6618,1084,18,6,372,389,584,4414,12,466,2204,113,944,26,177,6
170,5410,1116,27,12,301,299,522,3103,15,546,2307,110,954,39,214,5334,1089,30,7,308,310,561,3271,23,471,2063,108,931,40,214,6
171,5197,1004,37,14,296,308,519,3428,23,449,1769,105,867,24,187,5285,960,22,9,297,310,502,3521,13,425,1764,104,879,29,185,6
172,5169,1020,25,14,290,339,570,3685,11,410,1484,119,985,33,198,5057,1076,27,13,306,306,552,2972,14,482,2085,110,990,36,197,9
173,5604,1073,24,13,311,318,548,3384,11,489,2220,111,897,23,200,4754,1009,38,23,272,333,563,3094,15,390,1660,112,969,29,194,12
174,6259,1000,18,10,332,386,536,4189,8,444,2070,105,967,20,175,5384,1002,25,5,308,329,554,3597,20,406,1787,108,850,44,177,11
175,5761,972,17,7,330,338,519,4338,10,427,1423,78,570,28,170,5232,991,25,11,309,326,534,3348,14,422,1884,103,795,20,168,13
176,5722,1035,27,13,344,293,485,3588,14,524,2134,101,822,31,178,4972,988,36,16,290,315,538,3400,20,405,1572,118,1014,30,175,14
177,6090,1057,27,7,357,359,554,3824,20,457,2266,104,877,33,181,4826,985,22,13,298,360,566,3337,9,379,1489,99,829,22,177,9
178,5225,1021,29,16,313,247,451,2679,13,531,2546,114,1043,25,190,5200,1001,29,13,319,320,526,3137,16,438,2063,114,981,30,190,8
179,6131,994,14,6,341,291,442,3422,8,519,2709,116,985,26,183,6043,1031,31,10,340,393,636,4511,21,363,1532,100,811,28,183,10
180,4784,1037,41,9,281,316,585,3168,32,409,1616,98,768,31,194,6274,1029,23,14,332,371,545,4249,9,458,2025,113,944,24,192,2
181,5167,971,31,12,290,297,525,3021,19,417,2146,126,1016,27,191,5593,1072,20,7,326,322,524,3375,13,518,2218,110,1006,24,191,4
182,5116,993,17,5,302,320,568,3808,12,397,1308,91,707,44,181,5891,1010,25,7,300,365,579,4152,18,396,1739,130,1192,28,188,11
183,4434,919,21,7,248,263,445,2634,14,448,1800,78,633,16,177,5807,1047,30,12,322,354,567,3814,18,454,1993,73,567,15,172,7
184,6482,988,14,6,353,376,552,4924,8,395,1558,76,591,34,180,6585,1049,38,7,358,390,637,4796,31,383,1789,122,948,16,183,15
185,5205,1001,30,15,291,291,538,3441,15,426,1764,119,911,31,192,5796,1071,38,18,327,343,593,3805,20,439,1991,110,953,28,196,9
186,5085,1031,24,10,304,374,605,3577,14,395,1508,108,895,21,185,5377,1032,29,11,315,314,531,3179,18,467,2198,99,928,28,187,9
187,5830,1037,22,7,351,370,584,4202,15,409,1628,103,883,38,180,6126,1024,17,9,353,378,582,4200,8,409,1926,125,1155,35,176,8
